32,33,13,15,-1,42,37,38,29,28,39,-1,13,5,8,9,49,51,67,69
32,33,-1,-1,-1,18,-1,42,37,39,-1,19,21,7,8,9,55,58,51,25
32,33,18,1,2,2,3,-1,-1,66,42,-1,1,11,8,9,55,52,63,31
28,39,-1,13,14,14,17,3,0,-1,18,1,11,8,4,15,61,63,25,35
33,43,45,-1,-1,1,16,15,12,49,51,7,8,4,15,-1,-1,25,35,32
34,26,27,-1,-1,7,10,2,3,61,63,7,8,9,-1,66,-1,31,32,32
32,32,33,42,-1,13,5,8,10,2,3,7,8,9,-1,-1,-1,31,32,32
28,38,39,-1,-1,66,13,14,5,8,10,11,8,9,-1,-1,24,31,32,32
33,42,-1,18,-1,-1,49,51,13,5,8,8,8,9,-1,18,36,31,32,32
39,1,3,-1,67,69,55,58,51,7,8,8,8,9,-1,-1,-1,31,32,32
1,16,15,-1,-1,-1,61,62,63,7,8,8,8,10,3,0,-1,31,32,32
13,15,-1,-1,-1,-1,-1,1,2,16,14,14,5,8,9,12,-1,37,29,32
21,-1,-1,-1,-1,66,-1,7,8,9,42,1,11,8,9,-1,-1,-1,31,32
-1,49,51,-1,-1,-1,-1,7,8,10,2,11,8,8,9,-1,-1,-1,31,32
49,59,57,-1,-1,0,-1,13,5,8,8,8,8,8,10,3,48,-1,37,29
64,62,63,-1,-1,12,-1,42,7,8,8,8,8,4,14,15,60,-1,24,31
57,-1,-1,42,25,26,27,-1,13,14,14,5,4,15,0,42,-1,-1,36,31
57,24,-1,-1,31,32,34,27,-1,-1,-1,13,15,-1,12,-1,-1,66,25,35
63,36,-1,-1,37,38,38,39,19,20,21,-1,-1,-1,-1,-1,-1,-1,31,32
26,27,-1,-1,43,45,42,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,31,32
32,34,26,27,-1,66,-1,-1,42,-1,-1,-1,-1,0,-1,-1,-1,-1,31,32
32,32,32,34,26,26,27,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,31,32
32,32,32,32,32,32,33,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,37,29
29,32,32,32,32,32,33,42,-1,-1,-1,-1,-1,-1,-1,-1,49,51,42,31
35,32,32,32,32,28,39,-1,24,-1,-1,18,-1,-1,-1,-1,55,58,51,31
32,32,32,28,38,39,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,61,62,63,31
32,32,32,33,42,-1,-1,-1,-1,-1,-1,-1,19,21,-1,-1,-1,-1,-1,31
32,32,32,34,27,-1,-1,-1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,37
32,32,32,32,33,-1,24,-1,-1,0,-1,-1,18,-1,-1,-1,-1,-1,-1,-1
32,32,28,38,39,-1,36,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,19,20
32,32,33,-1,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49
28,38,39,42,-1,-1,18,-1,-1,-1,42,0,-1,-1,1,3,-1,66,-1,55
39,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,13,15,-1,-1,49,59
-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,55,52
42,-1,-1,-1,19,21,-1,-1,-1,18,1,3,-1,-1,-1,-1,-1,-1,55,58
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,16,15,-1,-1,-1,-1,-1,49,59,56
-1,18,-1,-1,-1,-1,-1,66,-1,7,9,-1,-1,-1,-1,-1,-1,61,63,49
-1,-1,-1,-1,49,51,-1,-1,-1,13,17,3,-1,-1,-1,-1,66,-1,66,61
42,-1,-1,49,64,65,51,-1,-1,-1,7,10,3,-1,-1,-1,-1,-1,-1,49
25,27,-1,61,63,61,63,-1,-1,18,13,5,9,-1,-1,18,-1,66,-1,55
31,33,-1,-1,-1,-1,-1,-1,-1,-1,1,11,9,-1,-1,-1,-1,-1,49,59
35,33,-1,-1,-1,-1,-1,-1,1,2,11,4,15,-1,-1,-1,-1,-1,55,52
32,33,42,-1,-1,-1,-1,-1,7,8,8,9,42,-1,18,-1,-1,-1,55,58
29,34,27,-1,-1,18,-1,1,11,8,8,10,2,3,-1,-1,-1,-1,61,53
37,29,34,27,42,49,51,7,8,4,14,5,8,10,3,-1,-1,0,-1,55
